pclass;sex;age;sibsp;parch;fare;embarked;survived
2nd;male;18;0;0;11,5;S;no
2nd;male;25;0;0;10,5;S;no
2nd;male;34;1;0;26;S;no
2nd;female;36;1;0;26;S;yes
2nd;male;57;0;0;13;S;no
2nd;male;18;0;0;11,5;S;no
2nd;male;23;0;0;10,5;S;no
2nd;female;36;0;0;13;S;yes
2nd;male;28;0;0;10,5;S;no
2nd;male;51;0;0;12,525;S;no
2nd;male;32;1;0;26;S;yes
2nd;female;19;1;0;26;S;yes
2nd;male;28;0;0;26;S;no
2nd;male;1;2;1;39;S;yes
2nd;female;4;2;1;39;S;yes
2nd;female;12;2;1;39;S;yes
2nd;female;36;0;3;39;S;yes
2nd;male;34;0;0;13;S;yes
2nd;female;19;0;0;13;S;yes
2nd;male;23;0;0;13;S;no
2nd;male;26;0;0;13;S;no
2nd;male;42;0;0;13;S;no
2nd;male;27;0;0;13;S;no
2nd;female;24;0;0;13;S;yes
2nd;female;15;0;2;39;S;yes
2nd;male;60;1;1;39;S;no
2nd;female;40;1;1;39;S;yes
2nd;female;20;1;0;26;S;yes
2nd;male;25;1;0;26;S;no
2nd;female;36;0;0;13;S;yes
2nd;male;25;0;0;13;S;no
2nd;male;42;0;0;13;S;no
2nd;female;42;0;0;13;S;yes
2nd;male;0,8333;0;2;29;S;yes
2nd;male;26;1;1;29;S;yes
2nd;female;22;1;1;29;S;yes
2nd;female;35;0;0;21;S;yes
2nd;male;19;0;0;13;S;no
2nd;female;44;1;0;26;S;no
2nd;male;54;1;0;26;S;no
2nd;male;52;0;0;13,5;S;no
2nd;male;37;1;0;26;S;no
2nd;female;29;1;0;26;S;no
2nd;female;25;1;1;30;S;yes
2nd;female;45;0;2;30;S;yes
2nd;male;29;1;0;26;S;no
2nd;female;28;1;0;26;S;yes
2nd;male;29;0;0;10,5;S;no
2nd;male;28;0;0;13;S;no
2nd;male;24;0;0;10,5;S;yes
2nd;female;8;0;2;26,25;S;yes
2nd;male;31;1;1;26,25;S;no
2nd;female;31;1;1;26,25;S;yes
2nd;female;22;0;0;10,5;S;yes
2nd;female;30;0;0;13;S;no
2nd;male;21;0;0;11,5;S;no
2nd;male;8;1;1;36,75;S;yes
2nd;male;18;0;0;73,5;S;no
2nd;female;48;0;2;36,75;S;yes
2nd;female;28;0;0;13;S;yes
2nd;male;32;0;0;13;S;no
2nd;male;17;0;0;73,5;S;no
2nd;male;29;1;0;27,7208;C;no
2nd;female;24;1;0;27,7208;C;yes
2nd;male;25;0;0;31,5;S;no
2nd;male;18;0;0;73,5;S;no
2nd;female;18;0;1;23;S;yes
2nd;female;34;0;1;23;S;yes
2nd;male;54;0;0;26;S;no
2nd;male;8;0;2;32,5;S;yes
2nd;male;42;1;1;32,5;S;no
2nd;female;34;1;1;32,5;S;yes
2nd;female;27;1;0;13,8583;C;yes
2nd;female;30;1;0;13,8583;C;yes
2nd;male;23;0;0;13;S;no
2nd;male;21;0;0;13;S;no
2nd;male;18;0;0;13;S;no
2nd;male;40;1;0;26;S;no
2nd;female;29;1;0;26;S;yes
2nd;male;18;0;0;10,5;S;no
2nd;male;36;0;0;13;S;no
2nd;female;38;0;0;13;S;no
2nd;male;35;0;0;26;S;no
2nd;male;38;1;0;21;S;no
2nd;male;34;1;0;21;S;no
2nd;female;34;0;0;13;S;yes
2nd;male;16;0;0;26;S;no
2nd;male;26;0;0;10,5;S;no
2nd;male;47;0;0;10,5;S;no
2nd;male;21;1;0;11,5;S;no
2nd;male;21;1;0;11,5;S;no
2nd;male;24;0;0;13,5;S;no
2nd;male;24;0;0;13;S;no
2nd;male;34;0;0;13;S;no
2nd;male;30;0;0;13;S;no
2nd;male;52;0;0;13;S;no
2nd;male;30;0;0;13;S;no
2nd;male;0,6667;1;1;14,5;S;yes
2nd;female;24;0;2;14,5;S;yes
2nd;male;44;0;0;13;S;no
2nd;female;6;0;1;33;S;yes
2nd;male;28;0;1;33;S;no
2nd;male;62;0;0;10,5;S;yes
2nd;male;30;0;0;10,5;S;no
2nd;female;7;0;2;26,25;S;yes
2nd;male;43;1;1;26,25;S;no
2nd;female;45;1;1;26,25;S;yes
2nd;female;24;1;2;65;S;yes
2nd;female;24;1;2;65;S;yes
2nd;male;49;1;2;65;S;no
2nd;female;48;1;2;65;S;yes
2nd;female;55;0;0;16;S;yes
2nd;male;24;2;0;73,5;S;no
2nd;male;32;2;0;73,5;S;no
2nd;male;21;2;0;73,5;S;no
2nd;female;18;1;1;13;S;no
2nd;female;20;2;1;23;S;yes
2nd;male;23;2;1;11,5;S;no
2nd;male;36;0;0;13;S;no
2nd;female;54;1;3;23;S;yes
2nd;male;50;0;0;13;S;no
2nd;male;44;1;0;26;S;no
2nd;female;29;1;0;26;S;yes
2nd;male;21;0;0;73,5;S;no
2nd;male;42;0;0;13;S;yes
2nd;male;63;1;0;26;S;no
2nd;female;60;1;0;26;S;no
2nd;male;33;0;0;12,275;S;no
2nd;female;17;0;0;10,5;S;yes
2nd;male;42;1;0;27;S;no
2nd;female;24;2;1;27;S;yes
2nd;male;47;0;0;15;S;no
2nd;male;24;2;0;31,5;S;no
2nd;male;22;2;0;31,5;S;no
2nd;male;32;0;0;10,5;S;no
2nd;female;23;0;0;13,7917;C;yes
2nd;male;34;1;0;26;S;no
2nd;female;24;1;0;26;S;yes
2nd;female;22;0;0;21;S;no
2nd;male;35;0;0;12,35;Q;no
2nd;female;45;0;0;13,5;S;yes
2nd;male;57;0;0;12,35;Q;no
2nd;male;31;0;0;10,5;S;no
2nd;female;26;1;1;26;S;no
2nd;male;30;1;1;26;S;no
2nd;female;1;1;2;41,5792;C;yes
2nd;female;3;1;2;41,5792;C;yes
2nd;male;25;1;2;41,5792;C;no
2nd;female;22;1;2;41,5792;C;yes
2nd;female;17;0;0;12;C;yes
2nd;female;34;0;0;10,5;S;yes
2nd;male;36;0;0;12,875;C;no
2nd;male;24;0;0;10,5;S;no
2nd;male;61;0;0;12,35;Q;no
2nd;male;50;1;0;26;S;no
2nd;female;42;1;0;26;S;yes
2nd;female;57;0;0;10,5;S;no
2nd;male;1;0;2;37,0042;C;yes
2nd;male;31;1;1;37,0042;C;no
2nd;female;24;1;1;37,0042;C;yes
2nd;male;30;0;0;13;S;no
2nd;male;40;0;0;16;S;no
2nd;male;32;0;0;13,5;S;no
2nd;male;30;0;0;13;S;no
2nd;male;46;0;0;26;S;no
2nd;female;13;0;1;19,5;S;yes
2nd;female;41;0;1;19,5;S;yes
2nd;male;19;0;0;10,5;S;yes
2nd;male;39;0;0;13;S;no
2nd;male;48;0;0;13;S;no
2nd;male;70;0;0;10,5;S;no
2nd;male;27;0;0;13;S;no
2nd;male;54;0;0;14;S;no
2nd;male;39;0;0;26;S;no
2nd;male;16;0;0;10,5;S;no
2nd;male;62;0;0;9,6875;Q;no
2nd;male;32,5;1;0;30,0708;C;no
2nd;female;14;1;0;30,0708;C;yes
2nd;male;2;1;1;26;S;yes
2nd;male;3;1;1;26;S;yes
2nd;male;36,5;0;2;26;S;no
2nd;male;26;0;0;13;S;no
2nd;male;19;1;1;36,75;S;no
2nd;male;28;0;0;13,5;S;no
2nd;male;20;0;0;13,8625;C;yes
2nd;female;29;0;0;10,5;S;yes
2nd;male;39;0;0;13;S;no
2nd;male;22;0;0;10,5;S;yes
2nd;male;23;0;0;10,5;S;no
2nd;male;29;0;0;13,8583;C;yes
2nd;male;28;0;0;10,5;S;no
2nd;female;50;0;1;26;S;yes
2nd;male;19;0;0;10,5;S;no
2nd;male;41;0;0;13;S;no
2nd;female;21;0;1;21;S;yes
2nd;female;19;0;0;26;S;yes
2nd;male;43;0;1;21;S;no
2nd;female;32;0;0;13;S;yes
2nd;male;34;0;0;13;S;no
2nd;male;30;0;0;12,7375;C;yes
2nd;male;27;0;0;15,0333;C;no
2nd;female;2;1;1;26;S;yes
2nd;female;8;1;1;26;S;yes
2nd;female;33;0;2;26;S;yes
2nd;male;36;0;0;10,5;S;no
2nd;male;34;1;0;21;S;no
2nd;female;30;3;0;21;S;yes
2nd;female;28;0;0;13;S;yes
2nd;male;23;0;0;15,0458;C;no
2nd;male;0,8333;1;1;18,75;S;yes
2nd;male;3;1;1;18,75;S;yes
2nd;female;24;2;3;18,75;S;yes
2nd;female;50;0;0;10,5;S;yes
2nd;male;19;0;0;10,5;S;no
2nd;female;21;0;0;10,5;S;yes
2nd;male;26;0;0;13;S;no
2nd;male;25;0;0;13;S;no
2nd;male;27;0;0;26;S;no
2nd;female;25;0;1;26;S;yes
2nd;female;18;0;2;13;S;yes
2nd;female;20;0;0;36,75;S;yes
2nd;female;30;0;0;13;S;yes
2nd;male;59;0;0;13,5;S;no
2nd;female;30;0;0;12,35;Q;yes
2nd;male;35;0;0;10,5;S;no
2nd;female;40;0;0;13;S;yes
2nd;male;25;0;0;13;S;no
2nd;male;41;0;0;15,0458;C;no
2nd;male;25;0;0;10,5;S;no
2nd;male;18,5;0;0;13;S;no
2nd;male;14;0;0;65;S;no
2nd;female;50;0;0;10,5;S;yes
2nd;male;23;0;0;13;S;no
2nd;female;28;0;0;12,65;S;yes
2nd;female;27;0;0;10,5;S;yes
2nd;male;29;1;0;21;S;no
2nd;female;27;1;0;21;S;no
2nd;male;40;0;0;13;S;no
2nd;female;31;0;0;21;S;yes
2nd;male;30;1;0;21;S;no
2nd;male;23;1;0;10,5;S;no
2nd;female;31;0;0;21;S;yes
2nd;female;12;0;0;15,75;S;yes
2nd;female;40;0;0;15,75;S;yes
2nd;female;32,5;0;0;13;S;yes
2nd;male;27;1;0;26;S;no
2nd;female;29;1;0;26;S;yes
2nd;male;2;1;1;23;S;yes
2nd;female;4;1;1;23;S;yes
2nd;female;29;0;2;23;S;yes
2nd;female;0,9167;1;2;27,75;S;yes
2nd;female;5;1;2;27,75;S;yes
2nd;male;36;1;2;27,75;S;no
2nd;female;33;1;2;27,75;S;yes
2nd;male;66;0;0;10,5;S;no
2nd;male;31;0;0;13;S;yes
2nd;female;26;0;0;13,5;S;yes
2nd;female;24;0;0;13;S;no
3rd;male;42;0;0;7,55;S;no
3rd;male;13;0;2;20,25;S;no
3rd;male;16;1;1;20,25;S;no
3rd;female;35;1;1;20,25;S;yes
3rd;female;16;0;0;7,65;S;yes
3rd;male;25;0;0;7,65;S;yes
3rd;male;20;0;0;7,925;S;yes
3rd;female;18;0;0;7,2292;C;yes
3rd;male;30;0;0;7,25;S;no
3rd;male;26;0;0;8,05;S;no
3rd;female;40;1;0;9,475;S;no
3rd;male;0,8333;0;1;9,35;S;yes
3rd;female;18;0;1;9,35;S;yes
3rd;male;26;0;0;18,7875;C;yes
3rd;male;26;0;0;7,8875;S;no
3rd;male;20;0;0;7,925;S;no
3rd;male;24;0;0;7,05;S;no
3rd;male;25;0;0;7,05;S;no
3rd;male;35;0;0;8,05;S;no
3rd;male;18;0;0;8,3;S;no
3rd;male;32;0;0;22,525;S;no
3rd;female;19;1;0;7,8542;S;yes
3rd;male;4;4;2;31,275;S;no
3rd;female;6;4;2;31,275;S;no
3rd;female;2;4;2;31,275;S;no
3rd;female;17;4;2;7,925;S;yes
3rd;female;38;4;2;7,775;S;no
3rd;female;9;4;2;31,275;S;no
3rd;female;11;4;2;31,275;S;no
3rd;male;39;1;5;31,275;S;no
3rd;male;27;0;0;7,7958;S;yes
3rd;male;26;0;0;7,775;S;no
3rd;female;39;1;5;31,275;S;no
3rd;male;20;0;0;7,8542;S;no
3rd;male;26;0;0;7,8958;S;no
3rd;male;25;1;0;17,8;S;no
3rd;female;18;1;0;17,8;S;no
3rd;male;24;0;0;7,775;S;no
3rd;male;35;0;0;7,05;S;no
3rd;male;5;4;2;31,3875;S;no
3rd;male;9;4;2;31,3875;S;no
3rd;male;3;4;2;31,3875;S;yes
3rd;male;13;4;2;31,3875;S;no
3rd;female;5;4;2;31,3875;S;yes
3rd;male;40;1;5;31,3875;S;no
3rd;male;23;0;0;7,7958;S;yes
3rd;female;38;1;5;31,3875;S;yes
3rd;female;45;0;0;7,225;C;yes
3rd;male;21;0;0;7,225;C;no
3rd;male;23;0;0;7,05;S;no
3rd;female;17;0;0;14,4583;C;no
3rd;male;30;0;0;7,225;C;no
3rd;male;23;0;0;7,8542;S;no
3rd;female;13;0;0;7,2292;C;yes
3rd;male;20;0;0;7,225;C;no
3rd;male;32;1;0;15,85;S;no
3rd;female;33;3;0;15,85;S;yes
3rd;female;0,75;2;1;19,2583;C;yes
3rd;female;0,75;2;1;19,2583;C;yes
3rd;female;5;2;1;19,2583;C;yes
3rd;female;24;0;3;19,2583;C;yes
3rd;female;18;0;0;8,05;S;yes
3rd;male;40;0;0;7,225;C;no
3rd;male;26;0;0;7,8958;S;no
3rd;male;20;0;0;7,2292;C;yes
3rd;female;18;0;1;14,4542;C;no
3rd;female;45;0;1;14,4542;C;no
3rd;female;27;0;0;7,8792;Q;no
3rd;male;22;0;0;8,05;S;no
3rd;male;19;0;0;8,05;S;no
3rd;male;26;0;0;7,775;S;no
3rd;male;22;0;0;9,35;S;no
3rd;male;20;0;0;4,0125;C;no
3rd;male;32;0;0;56,4958;S;yes
3rd;male;21;0;0;7,775;S;no
3rd;male;18;0;0;7,75;S;no
3rd;male;26;0;0;7,8958;S;no
3rd;male;6;1;1;15,2458;C;no
3rd;female;9;1;1;15,2458;C;no
3rd;male;40;1;1;15,5;Q;no
3rd;female;32;1;1;15,5;Q;no
3rd;male;21;0;0;16,1;S;no
3rd;female;22;0;0;7,725;Q;yes
3rd;female;20;0;0;7,8542;S;no
3rd;male;29;1;0;7,0458;S;no
3rd;male;22;1;0;7,25;S;no
3rd;male;22;0;0;7,7958;S;no
3rd;male;35;0;0;8,05;S;no
3rd;female;18,5;0;0;7,2833;Q;no
3rd;male;21;0;0;7,8208;Q;yes
3rd;male;19;0;0;6,75;Q;no
3rd;female;18;0;0;7,8792;Q;no
3rd;female;21;0;0;8,6625;S;no
3rd;female;30;0;0;8,6625;S;no
3rd;male;18;0;0;8,6625;S;no
3rd;male;38;0;0;8,6625;S;no
3rd;male;17;0;0;8,6625;S;no
3rd;male;17;0;0;8,6625;S;no
3rd;female;21;0;0;7,75;Q;no
3rd;male;21;0;0;7,75;Q;no
3rd;male;21;0;0;8,05;S;no
3rd;male;28;0;0;7,7958;S;no
3rd;male;24;0;0;7,8542;S;no
3rd;female;16;0;0;7,75;Q;yes
3rd;female;37;0;0;7,75;Q;no
3rd;male;28;0;0;7,25;S;no
3rd;male;24;0;0;8,05;S;no
3rd;male;21;0;0;7,7333;Q;no
3rd;male;32;0;0;56,4958;S;yes
3rd;male;29;0;0;8,05;S;no
3rd;male;26;1;0;14,4542;C;no
3rd;male;18;1;0;14,4542;C;no
3rd;male;20;0;0;7,05;S;no
3rd;male;18;0;0;8,05;S;yes
3rd;male;24;0;0;7,25;Q;no
3rd;male;36;0;0;7,4958;S;no
3rd;male;24;0;0;7,4958;S;no
3rd;male;31;0;0;7,7333;Q;no
3rd;male;31;0;0;7,75;Q;no
3rd;female;22;0;0;7,75;Q;yes
3rd;female;30;0;0;7,6292;Q;no
3rd;male;70,5;0;0;7,75;Q;no
3rd;male;43;0;0;8,05;S;no
3rd;male;35;0;0;7,8958;S;no
3rd;male;27;0;0;7,8958;S;no
3rd;male;19;0;0;7,8958;S;no
3rd;male;30;0;0;8,05;S;no
3rd;male;9;1;1;15,9;S;yes
3rd;male;3;1;1;15,9;S;yes
3rd;female;36;0;2;15,9;S;yes
3rd;male;59;0;0;7,25;S;no
3rd;male;19;0;0;8,1583;S;no
3rd;female;17;0;1;16,1;S;yes
3rd;male;44;0;1;16,1;S;no
3rd;male;17;0;0;8,6625;S;no
3rd;male;22,5;0;0;7,225;C;no
3rd;male;45;0;0;8,05;S;yes
3rd;female;22;0;0;10,5167;S;no
3rd;male;19;0;0;10,1708;S;no
3rd;female;30;0;0;6,95;Q;yes
3rd;male;29;0;0;7,75;Q;yes
3rd;male;0,3333;0;2;14,4;S;no
3rd;male;34;1;1;14,4;S;no
3rd;female;28;1;1;14,4;S;no
3rd;male;27;0;0;7,8958;S;no
3rd;male;25;0;0;7,8958;S;no
3rd;male;24;2;0;24,15;S;no
3rd;male;22;0;0;8,05;S;no
3rd;male;21;2;0;24,15;S;no
3rd;male;17;2;0;8,05;S;no
3rd;male;36,5;1;0;17,4;S;yes
3rd;female;36;1;0;17,4;S;yes
3rd;male;30;0;0;9,5;S;yes
3rd;male;16;0;0;9,5;S;no
3rd;male;1;1;2;20,575;S;yes
3rd;female;0,1667;1;2;20,575;S;yes
3rd;male;26;1;2;20,575;S;no
3rd;female;33;1;2;20,575;S;yes
